firstname,token,canals_participacio_act
Vilassar de Dalt,08214AA000,0 No actualitzat
Sant Joan de Vilatorrada,08218AA000,0 No actualitzat
Sant Just Desvern,08221AA000,1 Actualitzat
Premià de Dalt,08230AA000,1 Actualitzat
Sant Pol de Mar,08235AA000,1 Actualitzat
Sant Sadurní d'Anoia,08240AA000,0 No actualitzat
Santa Coloma de Cervelló,08244AA000,1 Actualitzat
Santa Eulàlia de Ronçana,08248AA000,1 Actualitzat
Santa Margarida de Montbui,08250AA000,1 Actualitzat
Santa Margarida i els Monjos,08251AA000,1 Actualitzat
Santa Maria de Palautordera,08259AA000,0 No actualitzat
Sant Vicenç de Castellet,08262AA000,0 No actualitzat
Sant Vicenç de Montalt,08264AA000,1 Actualitzat
Sentmenat,08267AA000,1 Actualitzat
Súria,08274AA000,1 Actualitzat
Taradell,08278AA000,0 No actualitzat
Teià,08281AA000,0 No actualitzat
Tiana,08282AA000,1 Actualitzat
Tona,08283AA000,1 Actualitzat
Tordera,08284AA000,1 Actualitzat
Torelló,08285AA000,1 Actualitzat
Torrelles de Llobregat,08289AA000,0 No actualitzat
Vacarisses,08291AA000,0 No actualitzat
Vallirana,08295AA000,1 Actualitzat
Viladecavalls,08300AA000,0 No actualitzat
Vilanova del Camí,08302AA000,0 No actualitzat
Vilanova del Vallès,08902AA000,0 No actualitzat
Badia del Vallès,08904AA000,1 Actualitzat
Castellar del Vallès,08051AA000,1 Actualitzat
Esparreguera,08076AA000,1 Actualitzat
Esplugues de Llobregat,08077AA000,1 Actualitzat
Franqueses del Vallès (Les),08086AA000,1 Actualitzat
Gavà,08089AA000,1 Actualitzat
Igualada,08102AA000,1 Actualitzat
Manlleu,08112AA000,1 Actualitzat
Martorell,08114AA000,1 Actualitzat
Masnou (El),08118AA000,1 Actualitzat
Molins de Rei,08123AA000,1 Actualitzat
Montcada i Reixac,08125AA000,1 Actualitzat
Olesa de Montserrat,08147AA000,1 Actualitzat
Pineda de Mar,08163AA000,1 Actualitzat
Premià de Mar,08172AA000,1 Actualitzat
Ripollet,08180AA000,1 Actualitzat
Sant Adrià de Besòs,08194AA000,1 Actualitzat
Sant Andreu de la Barca,08196AA000,1 Actualitzat
Sant Feliu de Llobregat,08211AA000,1 Actualitzat
Sant Joan Despí,08217AA000,1 Actualitzat
Vilassar de Mar,08219AA000,1 Actualitzat
Sant Pere de Ribes,08231AA000,1 Actualitzat
Sant Quirze del Vallès,08238AA000,1 Actualitzat
Barberà del Vallès,08252AA000,1 Actualitzat
Santa Perpètua de Mogoda,08260AA000,1 Actualitzat
Sant Vicenç dels Horts,08263AA000,1 Actualitzat
Sitges,08270AA000,1 Actualitzat
Vic,08298AA000,1 Actualitzat
Vilafranca del Penedès,08305AA000,1 Actualitzat
Avià,08011AA000,0 No actualitzat
Avinyó,08012AA000,1 Actualitzat
Avinyonet del Penedès,08013AA000,0 No actualitzat
Aiguafreda,08014AA000,0 No actualitzat
Bagà,08016AA000,0 No actualitzat
Balenyà,08017AA000,0 No actualitzat
Balsareny,08018AA000,1 Actualitzat
Bruc (El),08025AA000,0 No actualitzat
Cabanyes (Les),08027AA000,0 No actualitzat
Cabrera d'Anoia,08028AA000,0 No actualitzat
Cabrera de Mar,08029AA000,0 No actualitzat
Calaf,08031AA000,1 Actualitzat
Caldes d'Estrac,08032AA000,0 No actualitzat
Calders,08034AA000,0 No actualitzat
Calldetenes,08037AA000,1 Actualitzat
Callús,08038AA000,0 No actualitzat
Campins,08039AA000,1 Actualitzat
Cànoves i Samalús,08042AA000,1 Actualitzat
Cardona,08047AA000,0 No actualitzat
Carme,08048AA000,0 No actualitzat
Casserres,08049AA000,0 No actualitzat
Castellbell i el Vilar,08053AA000,1 Actualitzat
Castellcir,08055AA000,0 No actualitzat
Castellet i la Gornal,08058AA000,1 Actualitzat
Castellgalí,08061AA000,0 No actualitzat
Castellnou de Bages,08062AA000,0 No actualitzat
Castellolí,08063AA000,1 Actualitzat
Castellterçol,08064AA000,1 Actualitzat
Castellví de la Marca,08065AA000,0 No actualitzat
Castellví de Rosanes,08066AA000,0 No actualitzat
Collbató,08069AA000,1 Actualitzat
Fogars de la Selva,08082AA000,0 No actualitzat
Folgueroles,08083AA000,1 Actualitzat
Fonollosa,08084AA000,1 Actualitzat
Font-rubí,08085AA000,0 No actualitzat
Gironella,08092AA000,1 Actualitzat
Granada (La),08094AA000,0 No actualitzat
Gualba,08097AA000,0 No actualitzat
Sant Salvador de Guardiola,08098AA000,1 Actualitzat
Guardiola de Berguedà,08099AA000,0 No actualitzat
Gurb,08100AA000,1 Actualitzat
Jorba,08103AA000,0 No actualitzat
Llacuna (La),08104AA000,0 No actualitzat
Martorelles,08115AA000,1 Actualitzat
Masies de Roda (Les),08116AA000,0 No actualitzat
Masies de Voltregà (Les),08117AA000,1 Actualitzat
Mediona,08122AA000,0 No actualitzat
Monistrol de Montserrat,08127AA000,0 No actualitzat
Monistrol de Calders,08128AA000,0 No actualitzat
Muntanyola,08129AA000,0 No actualitzat
Montesquiu,08131AA000,0 No actualitzat
Figaró-Montmany,08134AA000,1 Actualitzat
Òdena,08143AA000,0 No actualitzat
Olvan,08144AA000,0 No actualitzat
Olèrdola,08145AA000,1 Actualitzat
Olesa de Bonesvalls,08146AA000,0 No actualitzat
Olivella,08148AA000,0 No actualitzat
Olost,08149AA000,0 No actualitzat
Oristà,08151AA000,0 No actualitzat
Òrrius,08153AA000,0 No actualitzat
Pacs del Penedès,08154AA000,1 Actualitzat
Papiol (El),08158AA000,0 No actualitzat
Hostalets de Pierola (Els),08162AA000,1 Actualitzat
Pla del Penedès (El),08164AA000,0 No actualitzat
Pobla de Claramunt (La),08165AA000,0 No actualitzat
Pobla de Lillet (La),08166AA000,0 No actualitzat
Pontons,08168AA000,0 No actualitzat
Prats de Rei (Els),08170AA000,0 No actualitzat
Prats de Lluçanès,08171AA000,1 Actualitzat
Puigdàlber,08174AA000,0 No actualitzat
Puig-reig,08175AA000,1 Actualitzat
Rajadell,08178AA000,0 No actualitzat
Rellinars,08179AA000,0 No actualitzat
Pont de Vilomara i Rocafort (El),08182AA000,0 No actualitzat
Sant Iscle de Vallalta,08193AA000,0 No actualitzat
Sant Bartomeu del Grau,08199AA000,0 No actualitzat
Sant Boi de Lluçanès,08201AA000,0 No actualitzat
Sant Cebrià de Vallalta,08203AA000,0 No actualitzat
Sant Climent de Llobregat,08204AA000,1 Actualitzat
Sant Cugat Sesgarrigues,08206AA000,1 Actualitzat
Sant Esteve de Palautordera,08207AA000,0 No actualitzat
Sant Feliu Sasserra,08212AA000,0 No actualitzat
Sant Hipòlit de Voltregà,08215AA000,1 Actualitzat
Sant Julià de Vilatorta,08220AA000,0 No actualitzat
Sant Llorenç d'Hortons,08222AA000,1 Actualitzat
Sant Llorenç Savall,08223AA000,1 Actualitzat
Sant Martí de Centelles,08224AA000,0 No actualitzat
Sant Martí de Tous,08226AA000,0 No actualitzat
Sant Martí Sarroca,08227AA000,0 No actualitzat
Sant Mateu de Bages,08229AA000,0 No actualitzat
Sant Pere de Riudebitlles,08232AA000,1 Actualitzat
Sant Pere de Torelló,08233AA000,0 No actualitzat
Sant Pere de Vilamajor,08234AA000,1 Actualitzat
Sant Quintí de Mediona,08236AA000,1 Actualitzat
Sant Quirze de Besora,08237AA000,0 No actualitzat
Sant Quirze Safaja,08239AA000,0 No actualitzat
Santa Eugènia de Berga,08246AA000,1 Actualitzat
Santa Eulàlia de Riuprimer,08247AA000,0 No actualitzat
Esquirol (l´),08254AA000,1 Actualitzat
Santa Maria de Martorelles,08256AA000,0 No actualitzat
Santa Maria d'Oló,08258AA000,0 No actualitzat
Santa Susanna,08261AA000,0 No actualitzat
Sant Vicenç de Torelló,08265AA000,0 No actualitzat
Cercs,08268AA000,0 No actualitzat
Seva,08269AA000,0 No actualitzat
Subirats,08273AA000,1 Actualitzat
Torre de Claramunt (La),08286AA000,1 Actualitzat
Torrelavit,08287AA000,1 Actualitzat
Torrelles de Foix,08288AA000,1 Actualitzat
Ullastrell,08290AA000,1 Actualitzat
Vallbona d'Anoia,08292AA000,0 No actualitzat
Vallgorguina,08294AA000,0 No actualitzat
Vallromanes,08296AA000,0 No actualitzat
Vilobí del Penedès,08304AA000,0 No actualitzat
Vilalba Sasserra,08306AA000,0 No actualitzat
Palma de Cervelló (La),08905AA000,0 No actualitzat
Aguilar de Segarra,08002AA000,0 No actualitzat
Alpens,08004AA000,0 No actualitzat
Argençola,08008AA000,0 No actualitzat
Bellprat,08021AA000,0 No actualitzat
Borredà,08024AA000,0 No actualitzat
Brull (El),08026AA000,0 No actualitzat
Calonge de Segarra,08036AA000,0 No actualitzat
Capolat,08045AA000,0 No actualitzat
Castellar del Riu,08050AA000,0 No actualitzat
Castellar de n'Hug,08052AA000,0 No actualitzat
Castell de l'Areny,08057AA000,0 No actualitzat
Castellfollit del Boix,08059AA000,0 No actualitzat
Castellfollit de Riubregós,08060AA000,1 Actualitzat
Collsuspina,08070AA000,0 No actualitzat
Copons,08071AA000,0 No actualitzat
Espunyola (L'),08078AA000,0 No actualitzat
Estany (L'),08079AA000,0 No actualitzat
Fígols,08080AA000,0 No actualitzat
Fogars de Montclús,08081AA000,0 No actualitzat
Gallifa,08087AA000,0 No actualitzat
Gaià,08090AA000,0 No actualitzat
Gisclareny,08093AA000,0 No actualitzat
Granera,08095AA000,0 No actualitzat
Lluçà,08109AA000,0 No actualitzat
Malla,08111AA000,0 No actualitzat
Montclar,08130AA000,0 No actualitzat
Montmajor,08132AA000,0 No actualitzat
Montmaneu,08133AA000,0 No actualitzat
Montseny,08137AA000,0 No actualitzat
Mura,08139AA000,0 No actualitzat
Nou de Berguedà (La),08142AA000,0 No actualitzat
Orís,08150AA000,0 No actualitzat
Orpí,08152AA000,0 No actualitzat
Perafita,08160AA000,0 No actualitzat
Pujalt,08176AA000,0 No actualitzat
Quar (La),08177AA000,0 No actualitzat
Rubió,08185AA000,0 No actualitzat
Sagàs,08188AA000,0 No actualitzat
Sant Pere Sallavinera,08189AA000,0 No actualitzat
Saldes,08190AA000,0 No actualitzat
Sant Agustí de Lluçanès,08195AA000,0 No actualitzat
Sant Jaume de Frontanyà,08216AA000,0 No actualitzat
Sant Martí d'Albars,08225AA000,0 No actualitzat
Sant Martí Sesgueioles,08228AA000,0 No actualitzat
Sant Sadurní d'Osormort,08241AA000,0 No actualitzat
Marganell,08242AA000,0 No actualitzat
Santa Cecília de Voltregà,08243AA000,0 No actualitzat
Santa Fe del Penedès,08249AA000,0 No actualitzat
Santa Maria de Besora,08253AA000,0 No actualitzat
Santa Maria de Merlès,08255AA000,0 No actualitzat
Santa Maria de Miralles,08257AA000,0 No actualitzat
Sobremunt,08271AA000,0 No actualitzat
Sora,08272AA000,0 No actualitzat
Tavèrnoles,08275AA000,1 Actualitzat
Tagamanent,08276AA000,0 No actualitzat
Talamanca,08277AA000,1 Actualitzat
Tavertet,08280AA000,0 No actualitzat
Vallcebre,08293AA000,0 No actualitzat
Veciana,08297AA000,0 No actualitzat
Vilada,08299AA000,0 No actualitzat
Vilanova de Sau,08303AA000,1 Actualitzat
Viver i Serrateix,08308AA000,0 No actualitzat
Rupit i Pruit,08901AA000,0 No actualitzat
Sant Julià de Cerdanyola,08903AA000,0 No actualitzat
Badalona,08015AA000,1 Actualitzat
Barcelona,08019AA000,1 Actualitzat
Castelldefels,08056AA000,1 Actualitzat
Cornellà de Llobregat,08073AA000,1 Actualitzat
Granollers,08096AA000,1 Actualitzat
Hospitalet de Llobregat (L'),08101AA000,1 Actualitzat
Manresa,08113AA000,1 Actualitzat
Mataró,08121AA000,1 Actualitzat
Mollet del Vallès,08124AA000,1 Actualitzat
Prat de Llobregat (El),08169AA000,1 Actualitzat
Rubí,08184AA000,0 No actualitzat
Sabadell,08187AA000,1 Actualitzat
Sant Boi de Llobregat,08200AA000,1 Actualitzat
Sant Cugat del Vallès,08205AA000,1 Actualitzat
Santa Coloma de Gramenet,08245AA000,0 No actualitzat
Cerdanyola del Vallès,08266AA000,1 Actualitzat
Terrassa,08279AA000,1 Actualitzat
Viladecans,08301AA000,1 Actualitzat
Vilanova i la Geltrú,08307AA000,1 Actualitzat
