firstname,token,informacio_general_act,organs_de_govern_act,organismes_depenents_act,organismes_amb_representacio_act,canals_participacio_act,estructura_administrativa_act,serveis_publics_act,informacio_economica_act,contractacio_act,planificacio_act,grups_interes_act
Montmeló,08135AA000,1 Nivell mig,3 Nivell alt,,0 No actualitzat,1 Actualitzat,2 Nivell mig,0 No actualitzat,1 Nivell baix,1 Actualitzat,2 Nivell mig,0 No actualitzat
Montornès del Vallès,08136AA000,2 Nivell alt,3 Nivell alt,,1 Actualitzat,1 Actualitzat,3 Nivell alt,1 Nivell baix,2 Nivell mig,1 Actualitzat,3 Nivell alt,0 No actualitzat
Moià,08138AA000,2 Nivell alt,2 Nivell mig,1 Nivell mig,0 No actualitzat,1 Actualitzat,2 Nivell mig,1 Nivell baix,0 No actualitzat,1 Actualitzat,1 Nivell baix,0 No actualitzat
Navarcles,08140AA000,0 No actualitzat,1 Nivell baix,,1 Actualitzat,0 No actualitzat,2 Nivell mig,0 No actualitzat,1 Nivell baix,1 Actualitzat,0 No actualitzat,0 No actualitzat
Navàs,08141AA000,2 Nivell alt,3 Nivell alt,1 Nivell mig,1 Actualitzat,1 Actualitzat,3 Nivell alt,1 Nivell baix,2 Nivell mig,1 Actualitzat,2 Nivell mig,0 No actualitzat
Palafolls,08155AA000,2 Nivell alt,3 Nivell alt,,1 Actualitzat,1 Actualitzat,3 Nivell alt,1 Nivell baix,3 Nivell alt,1 Actualitzat,2 Nivell mig,1 Actualitzat
Palau-solità i Plegamans,08156AA000,2 Nivell alt,3 Nivell alt,,1 Actualitzat,1 Actualitzat,2 Nivell mig,2 Nivell mig,2 Nivell mig,1 Actualitzat,3 Nivell alt,0 No actualitzat
Pallejà,08157AA000,2 Nivell alt,2 Nivell mig,,0 No actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,2 Nivell mig,1 Actualitzat,0 No actualitzat,0 No actualitzat
Parets del Vallès,08159AA000,2 Nivell alt,3 Nivell alt,,1 Actualitzat,1 Actualitzat,3 Nivell alt,2 Nivell mig,2 Nivell mig,1 Actualitzat,3 Nivell alt,0 No actualitzat
Piera,08161AA000,1 Nivell mig,0 No actualitzat,1 Nivell mig,0 No actualitzat,0 No actualitzat,1 Nivell baix,0 No actualitzat,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Polinyà,08167AA000,2 Nivell alt,3 Nivell alt,,1 Actualitzat,1 Actualitzat,2 Nivell mig,2 Nivell mig,2 Nivell mig,1 Actualitzat,3 Nivell alt,0 No actualitzat
Roca del Vallès (La),08181AA000,2 Nivell alt,3 Nivell alt,,1 Actualitzat,1 Actualitzat,1 Nivell baix,1 Nivell baix,2 Nivell mig,1 Actualitzat,2 Nivell mig,0 No actualitzat
Roda de Ter,08183AA000,2 Nivell alt,3 Nivell alt,,1 Actualitzat,1 Actualitzat,3 Nivell alt,1 Nivell baix,1 Nivell baix,1 Actualitzat,3 Nivell alt,1 Actualitzat
Sallent,08191AA000,2 Nivell alt,3 Nivell alt,,1 Actualitzat,1 Actualitzat,2 Nivell mig,2 Nivell mig,1 Nivell baix,1 Actualitzat,3 Nivell alt,0 No actualitzat
Santpedor,08192AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,1 Actualitzat,2 Nivell mig,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Sant Andreu de Llavaneres,08197AA000,2 Nivell alt,3 Nivell alt,,1 Actualitzat,1 Actualitzat,2 Nivell mig,2 Nivell mig,2 Nivell mig,1 Actualitzat,2 Nivell mig,0 No actualitzat
Sant Antoni de Vilamajor,08198AA000,2 Nivell alt,2 Nivell mig,2 Nivell alt,1 Actualitzat,1 Actualitzat,3 Nivell alt,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Sant Celoni,08202AA000,2 Nivell alt,3 Nivell alt,,1 Actualitzat,1 Actualitzat,2 Nivell mig,2 Nivell mig,1 Nivell baix,1 Actualitzat,2 Nivell mig,0 No actualitzat
Sant Esteve Sesrovires,08208AA000,2 Nivell alt,3 Nivell alt,1 Nivell mig,0 No actualitzat,1 Actualitzat,2 Nivell mig,1 Nivell baix,2 Nivell mig,1 Actualitzat,1 Nivell baix,0 No actualitzat
Sant Fost de Campsentelles,08209AA000,2 Nivell alt,1 Nivell baix,,1 Actualitzat,1 Actualitzat,3 Nivell alt,1 Nivell baix,2 Nivell mig,1 Actualitzat,1 Nivell baix,0 No actualitzat
Sant Feliu de Codines,08210AA000,2 Nivell alt,3 Nivell alt,,1 Actualitzat,0 No actualitzat,2 Nivell mig,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Sant Fruitós de Bages,08213AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,0 No actualitzat,2 Nivell mig,1 Nivell baix,1 Nivell baix,1 Actualitzat,0 No actualitzat,0 No actualitzat
Vilassar de Dalt,08214AA000,1 Nivell mig,2 Nivell mig,1 Nivell mig,0 No actualitzat,0 No actualitzat,3 Nivell alt,1 Nivell baix,1 Nivell baix,1 Actualitzat,2 Nivell mig,0 No actualitzat
Sant Joan de Vilatorrada,08218AA000,1 Nivell mig,1 Nivell baix,2 Nivell alt,1 Actualitzat,0 No actualitzat,1 Nivell baix,0 No actualitzat,1 Nivell baix,1 Actualitzat,2 Nivell mig,0 No actualitzat
Sant Just Desvern,08221AA000,2 Nivell alt,3 Nivell alt,1 Nivell mig,1 Actualitzat,1 Actualitzat,3 Nivell alt,2 Nivell mig,2 Nivell mig,1 Actualitzat,2 Nivell mig,0 No actualitzat
Premià de Dalt,08230AA000,2 Nivell alt,2 Nivell mig,2 Nivell alt,1 Actualitzat,1 Actualitzat,3 Nivell alt,1 Nivell baix,2 Nivell mig,1 Actualitzat,2 Nivell mig,0 No actualitzat
Sant Pol de Mar,08235AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,1 Actualitzat,3 Nivell alt,1 Nivell baix,1 Nivell baix,1 Actualitzat,2 Nivell mig,0 No actualitzat
Sant Sadurní d'Anoia,08240AA000,2 Nivell alt,2 Nivell mig,1 Nivell mig,1 Actualitzat,0 No actualitzat,2 Nivell mig,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Santa Coloma de Cervelló,08244AA000,2 Nivell alt,3 Nivell alt,,0 No actualitzat,1 Actualitzat,2 Nivell mig,1 Nivell baix,2 Nivell mig,1 Actualitzat,1 Nivell baix,0 No actualitzat
Santa Eulàlia de Ronçana,08248AA000,2 Nivell alt,3 Nivell alt,2 Nivell alt,1 Actualitzat,1 Actualitzat,3 Nivell alt,2 Nivell mig,3 Nivell alt,1 Actualitzat,1 Nivell baix,0 No actualitzat
Santa Margarida de Montbui,08250AA000,2 Nivell alt,2 Nivell mig,1 Nivell mig,1 Actualitzat,1 Actualitzat,3 Nivell alt,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Santa Margarida i els Monjos,08251AA000,2 Nivell alt,2 Nivell mig,,0 No actualitzat,1 Actualitzat,2 Nivell mig,1 Nivell baix,1 Nivell baix,1 Actualitzat,2 Nivell mig,0 No actualitzat
Santa Maria de Palautordera,08259AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Sant Vicenç de Castellet,08262AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,0 No actualitzat,3 Nivell alt,1 Nivell baix,2 Nivell mig,1 Actualitzat,2 Nivell mig,0 No actualitzat
Sant Vicenç de Montalt,08264AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,1 Actualitzat,1 Nivell baix,1 Nivell baix,3 Nivell alt,1 Actualitzat,1 Nivell baix,0 No actualitzat
Sentmenat,08267AA000,2 Nivell alt,3 Nivell alt,,1 Actualitzat,1 Actualitzat,2 Nivell mig,1 Nivell baix,1 Nivell baix,1 Actualitzat,2 Nivell mig,0 No actualitzat
Súria,08274AA000,1 Nivell mig,2 Nivell mig,,1 Actualitzat,1 Actualitzat,2 Nivell mig,1 Nivell baix,0 No actualitzat,1 Actualitzat,1 Nivell baix,0 No actualitzat
Taradell,08278AA000,2 Nivell alt,2 Nivell mig,,0 No actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,0 No actualitzat,1 Actualitzat,3 Nivell alt,0 No actualitzat
Teià,08281AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,0 No actualitzat,2 Nivell mig,1 Nivell baix,0 No actualitzat,1 Actualitzat,1 Nivell baix,0 No actualitzat
Tiana,08282AA000,2 Nivell alt,2 Nivell mig,,0 No actualitzat,1 Actualitzat,2 Nivell mig,1 Nivell baix,1 Nivell baix,1 Actualitzat,0 No actualitzat,0 No actualitzat
Tona,08283AA000,2 Nivell alt,1 Nivell baix,,0 No actualitzat,1 Actualitzat,3 Nivell alt,2 Nivell mig,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Tordera,08284AA000,2 Nivell alt,2 Nivell mig,1 Nivell mig,1 Actualitzat,1 Actualitzat,2 Nivell mig,1 Nivell baix,2 Nivell mig,1 Actualitzat,2 Nivell mig,0 No actualitzat
Torelló,08285AA000,2 Nivell alt,3 Nivell alt,,1 Actualitzat,1 Actualitzat,3 Nivell alt,1 Nivell baix,3 Nivell alt,1 Actualitzat,3 Nivell alt,1 Actualitzat
Torrelles de Llobregat,08289AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,0 No actualitzat,2 Nivell mig,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Vacarisses,08291AA000,0 No actualitzat,0 No actualitzat,,1 Actualitzat,0 No actualitzat,1 Nivell baix,0 No actualitzat,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Vallirana,08295AA000,2 Nivell alt,3 Nivell alt,,1 Actualitzat,1 Actualitzat,3 Nivell alt,2 Nivell mig,2 Nivell mig,1 Actualitzat,3 Nivell alt,0 No actualitzat
Viladecavalls,08300AA000,2 Nivell alt,3 Nivell alt,1 Nivell mig,1 Actualitzat,0 No actualitzat,3 Nivell alt,1 Nivell baix,3 Nivell alt,1 Actualitzat,2 Nivell mig,0 No actualitzat
Vilanova del Camí,08302AA000,2 Nivell alt,2 Nivell mig,0 No actualitzat,1 Actualitzat,0 No actualitzat,2 Nivell mig,1 Nivell baix,3 Nivell alt,1 Actualitzat,2 Nivell mig,0 No actualitzat
Vilanova del Vallès,08902AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,0 No actualitzat,2 Nivell mig,1 Nivell baix,3 Nivell alt,1 Actualitzat,2 Nivell mig,0 No actualitzat
Badia del Vallès,08904AA000,2 Nivell alt,2 Nivell mig,,0 No actualitzat,1 Actualitzat,3 Nivell alt,1 Nivell baix,2 Nivell mig,1 Actualitzat,1 Nivell baix,1 Actualitzat
Castellar del Vallès,08051AA000,2 Nivell alt,3 Nivell alt,,1 Actualitzat,1 Actualitzat,2 Nivell mig,1 Nivell baix,3 Nivell alt,1 Actualitzat,2 Nivell mig,0 No actualitzat
Esparreguera,08076AA000,2 Nivell alt,3 Nivell alt,,1 Actualitzat,1 Actualitzat,3 Nivell alt,3 Nivell alt,2 Nivell mig,1 Actualitzat,3 Nivell alt,0 No actualitzat
Esplugues de Llobregat,08077AA000,2 Nivell alt,3 Nivell alt,2 Nivell alt,0 No actualitzat,1 Actualitzat,3 Nivell alt,2 Nivell mig,3 Nivell alt,1 Actualitzat,2 Nivell mig,1 Actualitzat
Franqueses del Vallès (Les),08086AA000,2 Nivell alt,3 Nivell alt,2 Nivell alt,1 Actualitzat,1 Actualitzat,2 Nivell mig,1 Nivell baix,2 Nivell mig,1 Actualitzat,2 Nivell mig,0 No actualitzat
Gavà,08089AA000,2 Nivell alt,3 Nivell alt,1 Nivell mig,1 Actualitzat,1 Actualitzat,3 Nivell alt,2 Nivell mig,2 Nivell mig,1 Actualitzat,3 Nivell alt,1 Actualitzat
Igualada,08102AA000,2 Nivell alt,3 Nivell alt,2 Nivell alt,1 Actualitzat,1 Actualitzat,3 Nivell alt,2 Nivell mig,2 Nivell mig,1 Actualitzat,2 Nivell mig,0 No actualitzat
Manlleu,08112AA000,2 Nivell alt,3 Nivell alt,,1 Actualitzat,1 Actualitzat,3 Nivell alt,3 Nivell alt,2 Nivell mig,1 Actualitzat,3 Nivell alt,0 No actualitzat
Martorell,08114AA000,2 Nivell alt,3 Nivell alt,2 Nivell alt,1 Actualitzat,1 Actualitzat,3 Nivell alt,3 Nivell alt,2 Nivell mig,1 Actualitzat,2 Nivell mig,0 No actualitzat
Masnou (El),08118AA000,2 Nivell alt,3 Nivell alt,2 Nivell alt,1 Actualitzat,1 Actualitzat,3 Nivell alt,3 Nivell alt,2 Nivell mig,1 Actualitzat,2 Nivell mig,0 No actualitzat
Molins de Rei,08123AA000,2 Nivell alt,3 Nivell alt,1 Nivell mig,1 Actualitzat,1 Actualitzat,2 Nivell mig,1 Nivell baix,3 Nivell alt,1 Actualitzat,2 Nivell mig,0 No actualitzat
Montcada i Reixac,08125AA000,2 Nivell alt,3 Nivell alt,1 Nivell mig,1 Actualitzat,1 Actualitzat,3 Nivell alt,1 Nivell baix,3 Nivell alt,1 Actualitzat,2 Nivell mig,1 Actualitzat
Olesa de Montserrat,08147AA000,2 Nivell alt,3 Nivell alt,,1 Actualitzat,1 Actualitzat,2 Nivell mig,2 Nivell mig,1 Nivell baix,1 Actualitzat,3 Nivell alt,1 Actualitzat
Pineda de Mar,08163AA000,2 Nivell alt,3 Nivell alt,2 Nivell alt,1 Actualitzat,1 Actualitzat,3 Nivell alt,1 Nivell baix,2 Nivell mig,1 Actualitzat,2 Nivell mig,0 No actualitzat
Premià de Mar,08172AA000,2 Nivell alt,3 Nivell alt,2 Nivell alt,1 Actualitzat,1 Actualitzat,3 Nivell alt,1 Nivell baix,2 Nivell mig,1 Actualitzat,2 Nivell mig,0 No actualitzat
Ripollet,08180AA000,2 Nivell alt,3 Nivell alt,1 Nivell mig,1 Actualitzat,1 Actualitzat,3 Nivell alt,2 Nivell mig,2 Nivell mig,1 Actualitzat,2 Nivell mig,1 Actualitzat
Sant Adrià de Besòs,08194AA000,2 Nivell alt,3 Nivell alt,1 Nivell mig,1 Actualitzat,1 Actualitzat,3 Nivell alt,1 Nivell baix,2 Nivell mig,1 Actualitzat,2 Nivell mig,1 Actualitzat
Sant Andreu de la Barca,08196AA000,2 Nivell alt,3 Nivell alt,1 Nivell mig,1 Actualitzat,1 Actualitzat,2 Nivell mig,3 Nivell alt,2 Nivell mig,1 Actualitzat,3 Nivell alt,0 No actualitzat
Sant Feliu de Llobregat,08211AA000,2 Nivell alt,3 Nivell alt,,1 Actualitzat,1 Actualitzat,3 Nivell alt,1 Nivell baix,2 Nivell mig,1 Actualitzat,2 Nivell mig,1 Actualitzat
Sant Joan Despí,08217AA000,2 Nivell alt,3 Nivell alt,2 Nivell alt,1 Actualitzat,1 Actualitzat,3 Nivell alt,3 Nivell alt,2 Nivell mig,1 Actualitzat,2 Nivell mig,0 No actualitzat
Vilassar de Mar,08219AA000,2 Nivell alt,3 Nivell alt,2 Nivell alt,1 Actualitzat,1 Actualitzat,3 Nivell alt,1 Nivell baix,1 Nivell baix,1 Actualitzat,2 Nivell mig,1 Actualitzat
Sant Pere de Ribes,08231AA000,2 Nivell alt,3 Nivell alt,,1 Actualitzat,1 Actualitzat,3 Nivell alt,1 Nivell baix,1 Nivell baix,1 Actualitzat,2 Nivell mig,0 No actualitzat
Sant Quirze del Vallès,08238AA000,2 Nivell alt,3 Nivell alt,1 Nivell mig,1 Actualitzat,1 Actualitzat,3 Nivell alt,1 Nivell baix,2 Nivell mig,1 Actualitzat,3 Nivell alt,1 Actualitzat
Barberà del Vallès,08252AA000,2 Nivell alt,3 Nivell alt,2 Nivell alt,1 Actualitzat,1 Actualitzat,3 Nivell alt,2 Nivell mig,2 Nivell mig,1 Actualitzat,2 Nivell mig,0 No actualitzat
Santa Perpètua de Mogoda,08260AA000,2 Nivell alt,3 Nivell alt,2 Nivell alt,1 Actualitzat,1 Actualitzat,3 Nivell alt,2 Nivell mig,3 Nivell alt,1 Actualitzat,2 Nivell mig,0 No actualitzat
Sant Vicenç dels Horts,08263AA000,2 Nivell alt,3 Nivell alt,,0 No actualitzat,1 Actualitzat,2 Nivell mig,1 Nivell baix,1 Nivell baix,1 Actualitzat,2 Nivell mig,0 No actualitzat
Sitges,08270AA000,2 Nivell alt,3 Nivell alt,1 Nivell mig,1 Actualitzat,1 Actualitzat,3 Nivell alt,2 Nivell mig,2 Nivell mig,1 Actualitzat,3 Nivell alt,1 Actualitzat
Vic,08298AA000,2 Nivell alt,3 Nivell alt,1 Nivell mig,1 Actualitzat,1 Actualitzat,3 Nivell alt,1 Nivell baix,2 Nivell mig,1 Actualitzat,3 Nivell alt,1 Actualitzat
Vilafranca del Penedès,08305AA000,2 Nivell alt,3 Nivell alt,1 Nivell mig,1 Actualitzat,1 Actualitzat,3 Nivell alt,1 Nivell baix,3 Nivell alt,1 Actualitzat,2 Nivell mig,1 Actualitzat
Avià,08011AA000,1 Nivell mig,2 Nivell mig,,1 Actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,1 Nivell baix,1 Actualitzat,0 No actualitzat,0 No actualitzat
Avinyó,08012AA000,2 Nivell alt,2 Nivell mig,1 Nivell mig,1 Actualitzat,1 Actualitzat,1 Nivell baix,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Avinyonet del Penedès,08013AA000,0 No actualitzat,2 Nivell mig,,1 Actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,1 Nivell baix,1 Actualitzat,0 No actualitzat,0 No actualitzat
Aiguafreda,08014AA000,2 Nivell alt,1 Nivell baix,,0 No actualitzat,0 No actualitzat,2 Nivell mig,0 No actualitzat,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Bagà,08016AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,1 Nivell baix,1 Actualitzat,0 No actualitzat,0 No actualitzat
Balenyà,08017AA000,2 Nivell alt,1 Nivell baix,,0 No actualitzat,0 No actualitzat,2 Nivell mig,1 Nivell baix,1 Nivell baix,1 Actualitzat,2 Nivell mig,0 No actualitzat
Balsareny,08018AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,1 Actualitzat,1 Nivell baix,1 Nivell baix,1 Nivell baix,1 Actualitzat,0 No actualitzat,0 No actualitzat
Bruc (El),08025AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,0 No actualitzat,1 Actualitzat,0 No actualitzat,0 No actualitzat
Cabanyes (Les),08027AA000,2 Nivell alt,3 Nivell alt,,1 Actualitzat,0 No actualitzat,2 Nivell mig,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Cabrera d'Anoia,08028AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,0 No actualitzat,1 Nivell baix,1 Nivell baix,1 Nivell baix,1 Actualitzat,0 No actualitzat,0 No actualitzat
Cabrera de Mar,08029AA000,2 Nivell alt,2 Nivell mig,1 Nivell mig,1 Actualitzat,0 No actualitzat,2 Nivell mig,1 Nivell baix,1 Nivell baix,1 Actualitzat,1 Nivell baix,0 No actualitzat
Calaf,08031AA000,2 Nivell alt,3 Nivell alt,,1 Actualitzat,1 Actualitzat,1 Nivell baix,1 Nivell baix,2 Nivell mig,1 Actualitzat,0 No actualitzat,0 No actualitzat
Caldes d'Estrac,08032AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,0 No actualitzat,2 Nivell mig,1 Nivell baix,1 Nivell baix,1 Actualitzat,0 No actualitzat,0 No actualitzat
Calders,08034AA000,2 Nivell alt,2 Nivell mig,,1 Actualitzat,0 No actualitzat,2 Nivell mig,1 Nivell baix,1 Nivell baix,1 Actualitzat,2 Nivell mig,0 No actualitzat
